Week,Cumulative Sellers,Active Sellers (>1 order),New Sellers This Week,Monthly Orders,Avg Order Value,GMV (Monthly),Agent Reorder Rate,Hubs Established,Collection Points
1,16,10,16,20,R550,R11000,0%,0,1
2,51,35,35,70,R600,R42000,20%,1,2
3,100,70,49,150,R650,R97500,25%,1,2
4,167,110,67,240,R700,R168000,30%,2,3
5,238,160,71,340,R750,R255000,32%,3,4
6,318,220,80,460,R800,R368000,35%,3,5
7,401,280,83,580,R850,R493000,38%,4,6
8,494,350,93,720,R900,R648000,40%,5,7
9,589,420,95,900,R950,R855000,42%,6,8
10,696,500,107,1100,R1000,R1100000,44%,7,10
11,812,590,116,1350,R1050,R1417500,45%,8,12
12,935,680,123,1650,R1100,R1815000,45%,10,15
