Week,Revenue (Zen),COGS,Gross Profit,Acquisition Cost,Hub Incentives,Staff Costs,Tech/WhatsApp,Net Profit,Cumulative Cash
1,R11000,R5940,R5060,R1500,R0,R8000,R1000,-R5440,-R5440
2,R42000,R22680,R19320,R2600,R300,R8000,R1000,R7420,R1980
3,R97500,R52650,R44850,R3700,R800,R8000,R1000,R31350,R33330
4,R168000,R90720,R77280,R4900,R1500,R8000,R1000,R61880,R95210
5,R255000,R137700,R117300,R5600,R2500,R8000,R1500,R99700,R194910
6,R368000,R198720,R169280,R6300,R3800,R10000,R1500,R147680,R342590
7,R493000,R266220,R226780,R7000,R5500,R10000,R1500,R202780,R545370
8,R648000,R349920,R298080,R7800,R7500,R10000,R2000,R270780,R816150
9,R855000,R461700,R393300,R8100,R10000,R12000,R2000,R361200,R1177350
10,R1100000,R594000,R506000,R9400,R13000,R12000,R2500,R469100,R1646450
11,R1417500,R765450,R652050,R9700,R16500,R12000,R2500,R611350,R2257800
12,R1815000,R980100,R834900,R10000,R20500,R15000,R3000,R786400,R3044200
