Metric,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,TOTAL,ASSUMPTION
LEAD GENERATION,,,,,,,,,,,,,,
WhatsApp leads (organic),50,75,100,120,140,160,180,200,220,250,280,300,2075,"Organic growth through WhatsApp Status & groups"
WhatsApp leads (paid ads),0,50,100,150,150,150,150,150,150,150,150,150,1500,R5-10 per lead; Facebook/Instagram to WhatsApp
In-person activations,30,40,50,60,70,80,90,100,100,120,120,120,980,"Soweto/Tembisa taxi ranks, markets"
Referral leads,0,10,20,40,60,80,100,130,160,190,220,250,1260,"Existing sellers refer friends"
TOTAL LEADS,80,175,270,370,420,470,520,580,630,710,770,820,5815,
LEAD CONVERSION,,,,,,,,,,,,,,
Conversion rate,20%,20%,18%,18%,17%,17%,16%,16%,15%,15%,15%,15%,17% avg,"Decreases as base grows"
New Sellers (Starter Pack),16,35,49,67,71,80,83,93,95,107,116,123,935,
Cumulative Sellers,16,51,100,167,238,318,401,494,589,696,812,935,935,
LEAD ACQUISITION COST,,,,,,,,,,,,,,
WhatsApp ad spend,0,500,1000,1500,1500,1500,1500,1500,1500,1500,1500,1500,15000,R10 per lead avg
In-person activation cost,1500,2000,2500,3000,3500,4000,4500,5000,5000,6000,6000,6000,49000,"Staff, materials, transport"
Referral incentive cost,0,100,200,400,600,800,1000,1300,1600,1900,2200,2500,12600,R10 per referred sale
Total Acquisition Cost,1500,2600,3700,4900,5600,6300,7000,7800,8100,9400,9700,10000,76600,
Cost per Active Seller,94,74,76,73,79,79,84,84,85,88,84,81,81,"Getting cheaper as network grows"
