Location,Week Deployed,Lead Agent,Sellers in Area,Monthly GMV,Collection Point,Hub Status
Soweto,Week 1-2,Recruited Day 5,150,R200000,"Orlando, Maponya Mall",Active
Tembisa,Week 2-3,Recruited Day 10,120,R160000,Tembisa Plaza,Active
Mamelodi,Week 4-5,Recruited Day 25,100,R130000,Mamelodi Mall,Active (Week 5)
Alexandra,Week 5-6,Recruited Day 35,80,R110000,Alex Mall,Active (Week 6)
Katlehong,Week 6-7,Recruited Day 42,70,R95000,Katlehong Plaza,Active (Week 7)
Hammanskraal,Week 7-8,Recruited Day 50,60,R80000,Temba Plaza,Active (Week 8)
Atteridgeville,Week 8-9,Recruited Day 58,50,R65000,Atteridgeville Mall,Active (Week 9)
Vosloorus,Week 9-10,Recruited Day 65,45,R60000,Vosloorus Plaza,Active (Week 10)
Soshanguve,Week 10-11,Recruited Day 72,40,R55000,Soshanguve Crossing,Active (Week 11)
KZN (Deferred),Wave 2 (Month 4+),Not in 90-day,0,0,0,Deferred due to TPCA density
